site	cruiseid	year	month	day	date	yrday_gmt	lat	lon	LLI_narB[cells/mL]	temp	sal	depth[m]	sigma_0	standard_deviation[cells/mL]
BATS	216	2006	10	12	10/12/06	150768000	31.6667	-64.1667	1.61E+03	19.1376	36.6575	140	26.264	2.09E+02
BATS	216	2006	10	12	10/12/06	150768000	31.6667	-64.1667	2.12E+02	18.9114	36.638	160	26.308	5.84E+01
BATS	216	2006	10	12	10/12/06	150768000	31.6667	-64.1667	1.10E+02	18.7268	36.6227	180	26.344	3.17E+01
BATS	216	2006	10	12	10/12/06	150768000	31.6667	-64.1667	nd	18.5422	36.6074	200	26.38	nd
BATS	217	2006	11	8	11/8/06	153100800	31.6667	-64.1667	1.94E+03	23.8072	36.5367	1	24.86	1.08E+02
BATS	217	2006	11	8	11/8/06	153100800	31.6667	-64.1667	2.21E+03	23.808	36.5326	10	24.883	2.42E+02
BATS	217	2006	11	8	11/8/06	153100800	31.6667	-64.1667	1.82E+03	23.8104	36.533	20	24.86	1.07E+02
BATS	217	2006	11	8	11/8/06	153100800	31.6667	-64.1667	1.76E+03	23.8135	36.5321	40	24.86	2.51E+02
BATS	217	2006	11	8	11/8/06	153100800	31.6667	-64.1667	2.48E+03	23.8128	36.531	60	24.861	2.77E+02
BATS	217	2006	11	8	11/8/06	153100800	31.6667	-64.1667	8.85E+03	22.241	36.6974	80	25.448	6.08E+02
BATS	217	2006	11	8	11/8/06	153100800	31.6667	-64.1667	2.15E+03	20.8033	36.7297	100	25.866	6.84E+02
BATS	217	2006	11	8	11/8/06	153100800	31.6667	-64.1667	1.48E+03	19.9139	36.7006	120	26.095	2.17E+02
BATS	217	2006	11	8	11/8/06	153100800	31.6667	-64.1667	2.65E+02	19.2458	36.6618	140	26.238	3.74E+01
BATS	217	2006	11	8	11/8/06	153100800	31.6667	-64.1667	3.24E+01	18.9491	36.6474	160	26.3	3.66E+00
BATS	217	2006	11	8	11/8/06	153100800	31.6667	-64.1667	3.91E+01	18.7711	36.63015	180	26.3335	6.78E+00
BATS	217	2006	11	8	11/8/06	153100800	31.6667	-64.1667	nd	18.5931	36.6129	200	26.367	nd
BATS	218	2006	12	5	12/5/06	155433600	31.6667	-64.1667	6.03E+02	23.2563	36.4222	1	24.94	5.18E+01
BATS	218	2006	12	5	12/5/06	155433600	31.6667	-64.1667	5.74E+02	23.2585	36.4232	10	24.942	5.59E+01
BATS	218	2006	12	5	12/5/06	155433600	31.6667	-64.1667	6.24E+02	23.2594	36.4277	20	24.943	9.88E+01
BATS	218	2006	12	5	12/5/06	155433600	31.6667	-64.1667	7.17E+02	23.193	36.4443	40	24.98	1.22E+02
BATS	218	2006	12	5	12/5/06	155433600	31.6667	-64.1667	nd	23.0578	36.4715	60	25.039	nd
BATS	218	2006	12	5	12/5/06	155433600	31.6667	-64.1667	6.32E+02	22.8791	36.4603	80	25.083	1.17E+02
BATS	218	2006	12	5	12/5/06	155433600	31.6667	-64.1667	6.33E+02	22.8321	36.4638	100	25.099	5.02E+01
BATS	218	2006	12	5	12/5/06	155433600	31.6667	-64.1667	nd	22.0288	36.6601	120	25.487	nd
BATS	218	2006	12	5	12/5/06	155433600	31.6667	-64.1667	nd	20.2346	36.6989	140	26.003	nd
BATS	218	2006	12	5	12/5/06	155433600	31.6667	-64.1667	1.00E+01	19.5975	36.6818	160	26.161	4.35E+00
BATS	218	2006	12	5	12/5/06	155433600	31.6667	-64.1667	6.50E-01	19.30695	36.6635	180	26.224	nd
BATS	218	2006	12	5	12/5/06	155433600	31.6667	-64.1667	6.50E-01	19.0164	36.6452	200	26.287	nd
BATS	219	2007	1	28	1/28/07	160099200	31.6667	-64.1667	2.38E+03	20.2649	36.6965	1	25.975	4.87E+02
BATS	219	2007	1	28	1/28/07	160099200	31.6667	-64.1667	2.61E+03	19.995	36.6867	10	26.308	4.92E+01
BATS	219	2007	1	28	1/28/07	160099200	31.6667	-64.1667	2.25E+03	20.2668	36.6857	20	25.989	1.80E+02
BATS	219	2007	1	28	1/28/07	160099200	31.6667	-64.1667	2.69E+03	20.2247	36.6751	40	25.981	2.23E+02
BATS	219	2007	1	28	1/28/07	160099200	31.6667	-64.1667	1.70E+03	20.1474	36.6489	60	26.01	2.74E+02
BATS	219	2007	1	28	1/28/07	160099200	31.6667	-64.1667	1.53E+03	20.134	36.6466	80	25.989	7.76E+01
BATS	219	2007	1	28	1/28/07	160099200	31.6667	-64.1667	1.41E+03	20.1179	36.6463	100	26.002	1.52E+02
BATS	219	2007	1	28	1/28/07	160099200	31.6667	-64.1667	1.52E+03	19.8535	36.6533	120	26.244	8.98E+01
BATS	219	2007	1	28	1/28/07	160099200	31.6667	-64.1667	1.10E+03	20.0613	36.6598	140	26.017	1.54E+02
BATS	219	2007	1	28	1/28/07	160099200	31.6667	-64.1667	8.19E+02	19.3345	36.6648	160	26.218	5.13E+01
BATS	219	2007	1	28	1/28/07	160099200	31.6667	-64.1667	1.40E+02	19.0618	36.6436	180	26.318	1.71E+01
BATS	219	2007	1	28	1/28/07	160099200	31.6667	-64.1667	3.27E+01	18.7891	36.6224	200	26.418	1.60E+01
BATS	220	2007	2	22	2/22/07	162259200	31.6667	-64.1667	1.15E+03	19.743	36.6771	1	26.112	3.79E+02
BATS	220	2007	2	22	2/22/07	162259200	31.6667	-64.1667	1.38E+03	19.7484	36.6767	10	26.111	7.84E+01
BATS	220	2007	2	22	2/22/07	162259200	31.6667	-64.1667	nd	19.7429	36.68	20	26.113	nd
BATS	220	2007	2	22	2/22/07	162259200	31.6667	-64.1667	1.34E+03	19.7438	36.6761	40	26.114	2.73E+01
BATS	220	2007	2	22	2/22/07	162259200	31.6667	-64.1667	1.27E+03	19.7488	36.6785	60	26.114	2.76E+02
BATS	220	2007	2	22	2/22/07	162259200	31.6667	-64.1667	nd	19.7518	36.6803	80	26.114	nd
BATS	220	2007	2	22	2/22/07	162259200	31.6667	-64.1667	1.02E+03	19.7559	36.6772	100	26.114	5.01E+02
BATS	220	2007	2	22	2/22/07	162259200	31.6667	-64.1667	nd	19.7488	36.6763	120	26.116	nd
BATS	220	2007	2	22	2/22/07	162259200	31.6667	-64.1667	1.01E+03	19.7355	36.6752	140	26.119	2.64E+02
BATS	220	2007	2	22	2/22/07	162259200	31.6667	-64.1667	2.72E+02	18.8349	36.6142	160	26.305	6.38E+01
BATS	220	2007	2	22	2/22/07	162259200	31.6667	-64.1667	6.50E-01	18.62865	36.6034	180	26.3505	nd
BATS	220	2007	2	22	2/22/07	162259200	31.6667	-64.1667	6.50E-01	18.4224	36.5926	200	26.396	nd
BATS	220.5	2007	3	7	3/7/07	163382400	31.6667	-64.1667	1.05E+03	19.5375	36.6828	1	26.17	1.38E+01
BATS	220.5	2007	3	7	3/7/07	163382400	31.6667	-64.1667	1.19E+03	19.5375	36.6822	10	26.17	2.36E+02
BATS	220.5	2007	3	7	3/7/07	163382400	31.6667	-64.1667	1.01E+03	19.5385	36.6862	20	26.17	2.13E+02
BATS	220.5	2007	3	7	3/7/07	163382400	31.6667	-64.1667	1.50E+03	19.5412	36.6842	40	26.17	1.68E+02
BATS	220.5	2007	3	7	3/7/07	163382400	31.6667	-64.1667	1.85E+03	19.5427	36.6805	60	26.171	2.01E+02
BATS	220.5	2007	3	7	3/7/07	163382400	31.6667	-64.1667	nd	19.5427	36.6801	80	26.172	nd
BATS	220.5	2007	3	7	3/7/07	163382400	31.6667	-64.1667	1.61E+03	19.5464	36.6808	100	26.171	2.22E+02
BATS	220.5	2007	3	7	3/7/07	163382400	31.6667	-64.1667	1.58E+03	19.5503	36.6836	120	26.171	3.90E+02
BATS	220.5	2007	3	7	3/7/07	163382400	31.6667	-64.1667	1.10E+03	19.5514	36.6803	140	26.172	1.96E+02
BATS	220.5	2007	3	7	3/7/07	163382400	31.6667	-64.1667	nd	19.5483	36.6805	160	26.173	nd
BATS	220.5	2007	3	7	3/7/07	163382400	31.6667	-64.1667	nd	19.0219	36.6426	180	26.2795	nd
BATS	220.5	2007	3	7	3/7/07	163382400	31.6667	-64.1667	6.50E-01	18.4955	36.6047	200	26.386	nd
BATS	221	2007	3	21	3/21/07	164592000	31.6667	-64.1667	2.57E+03	19.4963	36.6799	1	26.18	6.51E+02
BATS	221	2007	3	21	3/21/07	164592000	31.6667	-64.1667	nd	19.4926	36.6919	10	26.181	nd
BATS	221	2007	3	21	3/21/07	164592000	31.6667	-64.1667	3.78E+03	19.4873	36.6811	20	26.183	8.22E+02
BATS	221	2007	3	21	3/21/07	164592000	31.6667	-64.1667	4.35E+03	19.4859	36.6803	40	26.184	1.28E+02
