"crn, julian, press, theta, sigma, temp, sal, oxy, xmiss, fluor, nit, "
"#, day, dbar, ITS-90, kg/m3, ITS-90, PSS-78, umol/kg, %, ug/l, umol/kg, "
"  1,   30,  172.0, 18.5943,  25.129, 18.6246, 35.0050,   187.0,   0.010,  0.0723,  -9.000,"
"  1,   30,  174.0, 18.5176,  25.147, 18.5481, 35.0030,   188.5,   0.010,  0.0665,  -9.000,"
"  1,   30,  176.0, 18.3883,  25.168, 18.4190, 34.9879,   188.6,   0.010,  0.0558,  -9.000,"
"  1,   30,  178.0, 18.2302,  25.190, 18.2611, 34.9660,   184.5,   0.010,  0.0456,  -9.000,"
"  1,   30,  180.0, 18.1841,  25.200, 18.2152, 34.9637,   189.9,   0.010,  0.0360,  -9.000,"
"  1,   30,  182.0, 18.0612,  25.220, 18.0926, 34.9509,   190.6,   0.010,  0.0307,  -9.000,"
"  1,   30,  184.0, 17.9875,  25.233, 18.0191, 34.9431,   190.7,   0.010,  0.0214,  -9.000,"
"  1,   30,  186.0, 17.8691,  25.251, 17.9009, 34.9292,   190.1,   0.010,  0.0203,  -9.000,"
"  1,   30,  188.0, 17.7758,  25.267, 17.8079, 34.9207,   190.9,   0.010,  0.0138,  -9.000,"
"  1,   30,  190.0, 17.7230,  25.273, 17.7553, 34.9115,   190.6,   0.005,  0.0106,  -9.000,"
"  1,   30,  192.0, 17.5757,  25.293, 17.6082, 34.8911,   190.1,   0.005,  0.0102,  -9.000,"
"  1,   30,  194.0, 17.4927,  25.305, 17.5254, 34.8802,   188.9,   0.005,  0.0068,  -9.000,"
"  1,   30,  196.0, 17.4640,  25.311, 17.4970, 34.8786,   186.2,   0.000,  0.0039,  -9.000,"
"  1,   30,  198.0, 17.2980,  25.334, 17.3311, 34.8570,   189.6,   0.000,  0.0025,  -9.000,"
"  1,   30,  200.0, 17.1954,  25.347, 17.2287, 34.8413,   189.9,   0.000, -0.0013,  -9.000,"
"  2,   62,    0.0, 25.6554,  23.127, 25.6554, 34.9802,   213.6,  -9.000, -9.0000,  -9.000,"
"  2,   62,    2.0, 25.7040,  23.116, 25.7045, 34.9855,   213.8,  12.320,  0.0416,  -9.000,"
"  2,   62,    4.0, 25.7004,  23.117, 25.7012, 34.9856,   208.8,  11.670,  0.0747,  -9.000,"
"  2,   62,    6.0, 25.6886,  23.120, 25.6900, 34.9836,   212.1,  11.900,  0.0765,  -9.000,"
"  2,   62,    8.0, 25.6853,  23.120, 25.6871, 34.9825,   211.6,   9.100,  0.0732,  -9.000,"
"  2,   62,   10.0, 25.6810,  23.123, 25.6832, 34.9849,   211.9,   8.080,  0.0793,  -9.000,"
"  2,   62,   12.0, 25.6795,  23.123, 25.6822, 34.9846,   214.7,   7.430,  0.0869,  -9.000,"
"  2,   62,   14.0, 25.6729,  23.124, 25.6760, 34.9825,   214.3,   5.120,  0.0872,  -9.000,"
"  2,   62,   16.0, 25.6742,  23.123, 25.6777, 34.9829,   213.3,   5.300,  0.0831,  -9.000,"
"  2,   62,   18.0, 25.6699,  23.127, 25.6739, 34.9851,   213.3,   3.280,  0.0869,  -9.000,"
"  2,   62,   20.0, 25.6671,  23.128, 25.6715, 34.9854,   213.0,   2.370,  0.1075,  -9.000,"
"  2,   62,   22.0, 25.6652,  23.128, 25.6701, 34.9857,   213.4,   1.980,  0.1011,  -9.000,"
"  2,   62,   24.0, 25.6633,  23.129, 25.6686, 34.9862,   213.5,   1.750,  0.0947,  -9.000,"
"  2,   62,   26.0, 25.6666,  23.129, 25.6723, 34.9866,   213.0,   1.860,  0.1081,  -9.000,"
"  2,   62,   28.0, 25.6593,  23.131, 25.6654, 34.9869,   212.8,   1.540,  0.1151,  -9.000,"
"  2,   62,   30.0, 25.6566,  23.132, 25.6632, 34.9875,   212.5,   1.380,  0.1135,  -9.000,"
"  2,   62,   32.0, 25.6568,  23.133, 25.6639, 34.9879,   212.0,   1.130,  0.1287,  -9.000,"
"  2,   62,   34.0, 25.6506,  23.135, 25.6581, 34.9888,   211.9,   0.980,  0.1206,  -9.000,"
"  2,   62,   36.0, 25.6464,  23.137, 25.6544, 34.9888,   211.0,   0.890,  0.1145,  -9.000,"
"  2,   62,   38.0, 25.6390,  23.138, 25.6474, 34.9882,   210.5,   0.880,  0.1266,  -9.000,"
"  2,   62,   40.0, 25.6324,  23.142, 25.6412, 34.9897,   210.2,   1.020,  0.1309,  -9.000,"
"  2,   62,   42.0, 25.6280,  23.143, 25.6373, 34.9895,   210.4,   0.890,  0.1449,  -9.000,"
"  2,   62,   44.0, 25.6246,  23.145, 25.6344, 34.9908,   209.8,   0.700,  0.1534,  -9.000,"
"  2,   62,   46.0, 25.6210,  23.146, 25.6312, 34.9913,   209.3,   0.610,  0.1738,  -9.000,"
"  2,   62,   48.0, 25.6165,  23.148, 25.6271, 34.9915,   208.9,   0.610,  0.1712,  -9.000,"
"  2,   62,   50.0, 25.6125,  23.150, 25.6235, 34.9926,   208.4,   0.570,  0.1841,  -9.000,"
"  2,   62,   52.0, 25.6094,  23.152, 25.6209, 34.9940,   208.2,   0.580,  0.2015,  -9.000,"
"  2,   62,   54.0, 25.6021,  23.155, 25.6140, 34.9948,   208.1,   0.560,  0.2126,  -9.000,"
"  2,   62,   56.0, 25.5919,  23.158, 25.6043, 34.9945,   208.2,   0.600,  0.2307,  -9.000,"
"  2,   62,   58.0, 25.5782,  23.164, 25.5910, 34.9979,   208.2,   0.700,  0.2559,  -9.000,"
"  2,   62,   60.0, 25.5536,  23.173, 25.5668, 34.9994,   207.5,   0.870,  0.2780,  -9.000,"
"  2,   62,   62.0, 25.5175,  23.185, 25.5311, 35.0001,   207.3,   0.370,  0.3064,  -9.000,"
"  2,   62,   64.0, 25.4747,  23.199, 25.4887, 35.0009,   207.7,   0.260,  0.3423,  -9.000,"
"  2,   62,   66.0, 25.3975,  23.224, 25.4120, 35.0037,   207.9,   0.210,  0.3632,  -9.000,"
"  2,   62,   68.0, 25.3323,  23.245, 25.3472, 35.0047,   208.0,   0.180,  0.3908,  -9.000,"
"  2,   62,   70.0, 25.2488,  23.269, 25.2641, 35.0028,   209.3,   0.170,  0.4372,  -9.000,"
"  2,   62,   72.0, 25.1496,  23.301, 25.1653, 35.0052,   209.8,   0.200,  0.4456,  -9.000,"
"  2,   62,   74.0, 25.0569,  23.330, 25.0730, 35.0052,   209.9,   0.350,  0.4786,  -9.000,"
"  2,   62,   76.0, 24.9239,  23.373, 24.9404, 35.0089,   208.4,   0.390,  0.5337,  -9.000,"
"  2,   62,   78.0, 24.7518,  23.425, 24.7686, 35.0088,   209.6,   0.360,  0.5695,  -9.000,"
"  2,   62,   80.0, 24.6552,  23.456, 24.6724, 35.0114,   209.4,   0.340,  0.6534,  -9.000,"
"  2,   62,   82.0, 24.5435,  23.493, 24.5611, 35.0158,   209.2,   0.300,  0.7267,  -9.000,"
"  2,   62,   84.0, 24.3923,  23.543, 24.4102, 35.0225,   207.3,   0.260,  0.7774,  -9.000,"
"  2,   62,   86.0, 24.2502,  23.590, 24.2684, 35.0276,   207.8,   0.230,  0.8440,  -9.000,"
"  2,   62,   88.0, 24.1683,  23.617, 24.1869, 35.0313,   207.3,   0.200,  0.8872,  -9.000,"
"  2,   62,   90.0, 24.0507,  23.659, 24.0696, 35.0406,   205.2,   0.180,  0.9967,  -9.000,"
"  2,   62,   92.0, 23.9976,  23.680, 24.0169, 35.0481,   205.9,   0.160,  1.0175,  -9.000,"
"  2,   62,   94.0, 23.8649,  23.727, 23.8846, 35.0582,   205.2,   0.140,  1.0547,  -9.000,"
"  2,   62,   96.0, 23.7717,  23.760, 23.7918, 35.0652,   205.2,   0.130,  1.0822,  -9.000,"
"  2,   62,   98.0, 23.7188,  23.779, 23.7393, 35.0702,   204.0,   0.110,  1.0184,  -9.000,"
"  2,   62,  100.0, 23.5920,  23.823, 23.6128, 35.0793,   203.5,   0.090,  0.9743,  -9.000,"
"  2,   62,  102.0, 23.4656,  23.866, 23.4868, 35.0868,   202.5,   0.080,  0.9255,  -9.000,"
"  2,   62,  104.0, 23.3685,  23.899, 23.3900, 35.0927,   202.4,   0.050,  0.8427,  -9.000,"
"  2,   62,  106.0, 23.2087,  23.947, 23.2305, 35.0947,   201.8,   0.040,  0.7529,  -9.000,"
"  2,   62,  108.0, 23.1061,  23.978, 23.1282, 35.0971,   201.9,   0.030,  0.6963,  -9.000,"
"  2,   62,  110.0, 23.0044,  24.012, 23.0269, 35.1033,   200.2,   0.030,  0.6427,  -9.000,"
"  2,   62,  112.0, 22.9030,  24.046, 22.9258, 35.1086,   201.1,   0.040,  0.5947,  -9.000,"
"  2,   62,  114.0, 22.7683,  24.089, 22.7914, 35.1149,   200.8,   0.040,  0.5383,  -9.000,"
"  2,   62,  116.0, 22.6899,  24.115, 22.7134, 35.1197,   200.4,   0.040,  0.4968,  -9.000,"
"  2,   62,  118.0, 22.6007,  24.144, 22.6245, 35.1238,   199.4,   0.040,  0.4616,  -9.000,"
"  2,   62,  120.0, 22.5355,  24.165, 22.5597, 35.1279,   199.3,   0.040,  0.4426,  -9.000,"
"  2,   62,  122.0, 22.4615,  24.189, 22.4860, 35.1318,   198.5,   0.030,  0.4343,  -9.000,"
"  2,   62,  124.0, 22.4136,  24.206, 22.4385, 35.1354,   197.9,   0.030,  0.4163,  -9.000,"
"  2,   62,  126.0, 22.3112,  24.239, 22.3364, 35.1412,   197.4,   0.030,  0.3911,  -9.000,"
"  2,   62,  128.0, 22.2138,  24.270, 22.2393, 35.1456,   196.7,   0.030,  0.3641,  -9.000,"
"  2,   62,  130.0, 22.1194,  24.298, 22.1452, 35.1482,   196.6,   0.020,  0.3349,  -9.000,"
"  2,   62,  132.0, 22.0193,  24.328, 22.0455, 35.1496,   196.1,   0.020,  0.3223,  -9.000,"
"  2,   62,  134.0, 21.9116,  24.359, 21.9381, 35.1517,   195.1,   0.020,  0.3125,  -9.000,"
"  2,   62,  136.0, 21.8139,  24.387, 21.8407, 35.1523,   194.7,   0.010,  0.2941,  -9.000,"
"  2,   62,  138.0, 21.7349,  24.408, 21.7620, 35.1513,   193.5,   0.010,  0.2839,  -9.000,"
"  2,   62,  140.0, 21.6229,  24.439, 21.6503, 35.1511,   193.0,   0.010,  0.2548,  -9.000,"
"  2,   62,  142.0, 21.4801,  24.477, 21.5078, 35.1495,   191.9,   0.010,  0.2353,  -9.000,"
"  2,   62,  144.0, 21.3839,  24.504, 21.4118, 35.1499,   191.6,   0.010,  0.2063,  -9.000,"
"  2,   62,  146.0, 21.2970,  24.530, 21.3253, 35.1527,   191.1,   0.010,  0.1895,  -9.000,"
"  2,   62,  148.0, 21.1957,  24.554, 21.2242, 35.1473,   190.4,   0.010,  0.1722,  -9.000,"
"  2,   62,  150.0, 21.1079,  24.581, 21.1367, 35.1515,   190.2,   0.010,  0.1487,  -9.000,"
"  2,   62,  152.0, 21.0072,  24.607, 21.0363, 35.1497,   188.5,   0.010,  0.1373,  -9.000,"
"  2,   62,  154.0, 20.9285,  24.628, 20.9580, 35.1492,   189.4,   0.010,  0.1342,  -9.000,"
"  2,   62,  156.0, 20.8356,  24.652, 20.8653, 35.1478,   189.2,   0.010,  0.1241,  -9.000,"
"  2,   62,  158.0, 20.7229,  24.684, 20.7529, 35.1488,   189.1,   0.010,  0.1121,  -9.000,"
"  2,   62,  160.0, 20.6473,  24.702, 20.6776, 35.1458,   189.0,   0.010,  0.1018,  -9.000,"
"  2,   62,  162.0, 20.5466,  24.729, 20.5772, 35.1454,   189.0,   0.010,  0.0879,  -9.000,"
"  2,   62,  164.0, 20.4878,  24.745, 20.5187, 35.1463,   188.6,   0.010,  0.0879,  -9.000,"
"  2,   62,  166.0, 20.3454,  24.781, 20.3765, 35.1432,   188.5,   0.010,  0.0841,  -9.000,"
"  2,   62,  168.0, 20.2494,  24.805, 20.2808, 35.1417,   188.6,   0.010,  0.0777,  -9.000,"
"  2,   62,  170.0, 20.1412,  24.828, 20.1728, 35.1343,   188.7,   0.010,  0.0754,  -9.000,"
"  2,   62,  172.0, 20.0602,  24.848, 20.0921, 35.1328,   187.7,   0.010,  0.0703,  -9.000,"
"  2,   62,  174.0, 19.9189,  24.880, 19.9510, 35.1253,   188.8,   0.010,  0.0563,  -9.000,"
"  2,   62,  176.0, 19.8316,  24.900, 19.8640, 35.1212,   188.7,   0.010,  0.0483,  -9.000,"
"  2,   62,  178.0, 19.7625,  24.915, 19.7952, 35.1179,   187.6,   0.010,  0.0509,  -9.000,"
"  2,   62,  180.0, 19.6451,  24.940, 19.6781, 35.1106,   188.4,   0.010,  0.0518,  -9.000,"
"  2,   62,  182.0, 19.5316,  24.964, 19.5648, 35.1025,   187.9,   0.010,  0.0475,  -9.000,"
"  2,   62,  184.0, 19.3846,  24.991, 19.4180, 35.0882,   188.4,   0.010,  0.0443,  -9.000,"
"  2,   62,  186.0, 19.2858,  25.010, 19.3194, 35.0802,   187.9,   0.010,  0.0398,  -9.000,"
"  2,   62,  188.0, 19.1816,  25.029, 19.2154, 35.0700,   187.8,   0.010,  0.0341,  -9.000,"
"  2,   62,  190.0, 19.0821,  25.047, 19.1162, 35.0594,   188.0,   0.010,  0.0285,  -9.000,"
"  2,   62,  192.0, 18.9663,  25.067, 19.0005, 35.0473,   188.0,   0.010,  0.0264,  -9.000,"
"  2,   62,  194.0, 18.8434,  25.090, 18.8779, 35.0360,   187.9,   0.010,  0.0264,  -9.000,"
"  2,   62,  196.0, 18.7608,  25.104, 18.7955, 35.0269,   187.3,   0.010,  0.0222,  -9.000,"
"  2,   62,  198.0, 18.6486,  25.123, 18.6835, 35.0145,   187.7,   0.010,  0.0278,  -9.000,"
"  2,   62,  200.0, 18.5169,  25.148, 18.5519, 35.0042,   188.1,   0.010,  0.0252,  -9.000,"
"  3,   99,    0.0, 24.5943,  23.488, 24.5943, 35.0290,    -9.0,  -9.000,  0.3391,  -9.000,"
"  3,   99,    2.0, 24.6223,  23.485, 24.6227, 35.0361,   218.6,  -9.000,  0.7436,  -9.000,"
"  3,   99,    4.0, 24.6160,  23.482, 24.6169, 35.0298,   222.7,  -9.000,  0.2859,  -9.000,"
"  3,   99,    6.0, 24.6174,  23.484, 24.6187, 35.0328,   224.6,  -9.000,  0.2388,  -9.000,"
"  3,   99,    8.0, 24.6161,  23.482, 24.6178, 35.0307,   220.1,  -9.000,  0.2315,  -9.000,"
"  3,   99,   10.0, 24.6160,  23.483, 24.6181, 35.0315,   220.8,  -9.000,  0.2356,  -9.000,"
"  3,   99,   12.0, 24.6159,  23.483, 24.6185, 35.0316,   221.2,  -9.000,  0.2337,  -9.000,"
"  3,   99,   14.0, 24.6169,  23.483, 24.6199, 35.0315,   224.8,  -9.000,  0.2310,  -9.000,"
"  3,   99,   16.0, 24.6178,  23.481, 24.6213, 35.0299,   220.8,  -9.000,  0.2271,  -9.000,"
"  3,   99,   18.0, 24.6190,  23.481, 24.6228, 35.0298,   223.5,  -9.000,  0.2192,  -9.000,"
"  3,   99,   20.0, 24.6195,  23.482, 24.6238, 35.0311,   223.8,  -9.000,  0.2378,  -9.000,"
"  3,   99,   22.0, 24.6196,  23.482, 24.6244, 35.0310,   223.4,  -9.000,  0.2459,  -9.000,"
"  3,   99,   24.0, 24.6188,  23.482, 24.6240, 35.0313,   223.5,  -9.000,  0.2516,  -9.000,"
"  3,   99,   26.0, 24.6190,  23.482, 24.6246, 35.0313,   223.5,  -9.000,  0.2523,  -9.000,"
"  3,   99,   28.0, 24.6186,  23.482, 24.6246, 35.0314,   220.3,  -9.000,  0.2511,  -9.000,"
"  3,   99,   30.0, 24.6186,  23.482, 24.6250, 35.0316,   223.3,  -9.000,  0.2637,  -9.000,"
