crn,julian,press,theta,sigma,temp,sal,oxy,xmiss,fluor,nit
1,30,50,25.825,23.255,25.8361,35.2189,216.6,1.41,0.2874,NaN
1,30,52,25.6374,23.314,25.6489,35.22,212.2,1.305,0.296,NaN
1,30,54,25.4432,23.368,25.4551,35.2127,213,1.19,0.2755,NaN
1,30,56,25.3792,23.387,25.3915,35.2111,217.7,1.05,0.2837,NaN
1,30,58,25.2369,23.43,25.2496,35.2111,219.6,0.95,0.3029,NaN
1,30,60,24.989,23.508,25.002,35.2143,219.4,0.84,0.3277,NaN
1,30,62,24.8821,23.543,24.8955,35.2166,219.5,0.71,0.3421,NaN
1,30,64,24.7046,23.595,24.7184,35.2154,219.9,0.55,0.3605,NaN
1,30,66,24.5321,23.647,24.5462,35.2155,219.6,0.51,0.3846,NaN
1,30,68,24.2996,23.719,24.3141,35.2176,219.4,0.455,0.4102,NaN
1,30,70,24.1362,23.77,24.151,35.2213,219.6,0.425,0.4351,NaN
1,30,72,23.9126,23.834,23.9278,35.218,218.9,0.38,0.4805,NaN
1,30,74,23.8208,23.861,23.8363,35.2183,217.7,0.31,0.4926,NaN
1,30,76,23.6645,23.909,23.6803,35.2202,216.6,0.25,0.5223,NaN
1,30,78,23.5487,23.943,23.5649,35.221,216,0.21,0.5483,NaN
1,30,80,23.3894,23.99,23.4059,35.2217,214.8,0.18,0.5997,NaN
1,30,82,23.3716,23.994,23.3886,35.2202,211.8,0.16,0.6078,NaN
1,30,84,23.1623,24.057,23.1795,35.2219,213.4,0.135,0.6436,NaN
1,30,86,23.078,24.082,23.0956,35.2231,211.6,0.12,0.6688,NaN
1,30,88,22.9996,24.107,23.0176,35.2266,210.6,0.105,0.686,NaN
1,30,90,22.9072,24.14,22.9255,35.235,209.9,0.09,0.695,NaN
1,30,92,22.809,24.166,22.8277,35.2321,209.7,0.08,0.7043,NaN
1,30,94,22.702,24.198,22.721,35.2331,208.7,0.07,0.7304,NaN
1,30,96,22.5914,24.234,22.6108,35.2393,207.8,0.06,0.7542,NaN
1,30,98,22.4858,24.263,22.5055,35.2375,207.2,0.055,0.7694,NaN
1,30,100,22.3825,24.292,22.4026,35.2376,206.6,0.05,0.788,NaN
1,30,102,22.2805,24.32,22.3009,35.237,204.1,0.045,0.7919,NaN
1,30,104,22.2046,24.341,22.2253,35.2359,202.8,0.045,0.7865,NaN
1,30,106,22.1133,24.366,22.1344,35.2351,201.7,0.035,0.7779,NaN
1,30,108,22.0144,24.393,22.0358,35.2333,200.8,0.03,0.7643,NaN
1,30,110,21.9255,24.416,21.9472,35.2312,199.7,0.03,0.7367,NaN
1,30,112,21.8525,24.435,21.8746,35.2293,198,0.025,0.7209,NaN
1,30,114,21.7558,24.462,21.7782,35.23,197.3,0.025,0.7067,NaN
1,30,116,21.6547,24.489,21.6774,35.2285,196.6,0.02,0.6847,NaN
1,30,118,21.5227,24.523,21.5457,35.2253,195.8,0.02,0.6732,NaN
1,30,120,21.4643,24.539,21.4876,35.2241,189.7,0.015,0.6607,NaN
1,30,122,21.2695,24.583,21.2931,35.2119,194.7,0.015,0.6241,NaN
1,30,124,21.1532,24.61,21.177,35.2057,192.4,0.015,0.5792,NaN
1,30,126,21.0135,24.642,21.0376,35.198,190.8,0.015,0.5433,NaN
1,30,128,20.847,24.686,20.8714,35.1964,189.1,0.015,0.481,NaN
1,30,130,20.8714,24.677,20.8962,35.1923,188.2,0.01,0.4741,NaN
1,30,132,20.7181,24.707,20.7431,35.1774,188.1,0.01,0.4444,NaN
1,30,134,20.5694,24.741,20.5947,35.1692,188.1,0.01,0.4244,NaN
1,30,136,20.452,24.769,20.4776,35.1654,187.6,0.01,0.3909,NaN
1,30,138,20.3553,24.791,20.3811,35.1596,186.6,0.01,0.3614,NaN
1,30,140,20.2541,24.81,20.2803,35.1499,185.8,0.01,0.3421,NaN
1,30,142,20.1837,24.821,20.2101,35.1398,186,0.01,0.3192,NaN
1,30,144,20.0672,24.846,20.0939,35.1315,184.2,0.01,0.292,NaN
1,30,146,19.9512,24.869,19.9781,35.1217,184.4,0.01,0.276,NaN
1,30,148,19.8545,24.893,19.8818,35.1203,184.5,0.01,0.2585,NaN
1,30,150,19.7393,24.914,19.7668,35.1077,186.5,0.01,0.2521,NaN
1,30,152,19.6055,24.939,19.6333,35.0952,185.2,0.01,0.2207,NaN
1,30,154,19.4996,24.962,19.5276,35.0889,186,0.01,0.1955,NaN
1,30,156,19.3705,24.989,19.3987,35.0804,185.8,0.01,0.1783,NaN
1,30,158,19.2959,25.002,19.3244,35.0721,185.6,0.01,0.1674,NaN
1,30,160,19.1963,25.022,19.225,35.0649,185.6,0.01,0.1503,NaN
1,30,162,19.0843,25.044,19.1133,35.057,185.3,0.01,0.1371,NaN
1,30,164,19.0014,25.059,19.0307,35.0488,184.4,0.01,0.1237,NaN
1,30,166,18.8915,25.078,18.921,35.0367,187,0.01,0.1082,NaN
1,30,168,18.8014,25.094,18.8312,35.0278,188.1,0.01,0.0934,NaN
1,30,170,18.6765,25.114,18.7065,35.0133,188,0.01,0.0805,NaN
1,30,172,18.5943,25.129,18.6246,35.005,187,0.01,0.0723,NaN
1,30,174,18.5176,25.147,18.5481,35.003,188.5,0.01,0.0665,NaN
1,30,176,18.3883,25.168,18.419,34.9879,188.6,0.01,0.0558,NaN
1,30,178,18.2302,25.19,18.2611,34.966,184.5,0.01,0.0456,NaN
1,30,180,18.1841,25.2,18.2152,34.9637,189.9,0.01,0.036,NaN
1,30,182,18.0612,25.22,18.0926,34.9509,190.6,0.01,0.0307,NaN
1,30,184,17.9875,25.233,18.0191,34.9431,190.7,0.01,0.0214,NaN
1,30,186,17.8691,25.251,17.9009,34.9292,190.1,0.01,0.0203,NaN
1,30,188,17.7758,25.267,17.8079,34.9207,190.9,0.01,0.0138,NaN
1,30,190,17.723,25.273,17.7553,34.9115,190.6,0.005,0.0106,NaN
1,30,192,17.5757,25.293,17.6082,34.8911,190.1,0.005,0.0102,NaN
1,30,194,17.4927,25.305,17.5254,34.8802,188.9,0.005,0.0068,NaN
1,30,196,17.464,25.311,17.497,34.8786,186.2,0,0.0039,NaN
1,30,198,17.298,25.334,17.3311,34.857,189.6,0,0.0025,NaN
1,30,200,17.1954,25.347,17.2287,34.8413,189.9,0,-0.0013,NaN
